gene_id,group,RNA_Leaf_Zone_3_Growth,RNA_Root_Meristem_Zone_5_Days,Protein_Leaf_Zone_3_Growth,Protein_Root_Meristem_Zone_5_Days
Zm00001d040462,train,4.90043904835,3.1664139488800003,4.90043904835,3.1664139488800003
Zm00001d032358,test,0.40925270523900004,0.608851369556,0.40925270523900004,0.608851369556
Zm00001d048136,val,4.2711977259,1.21604764733,4.2711977259,1.21604764733
Zm00001d042289,train,2.80622452302,0.965450025448,2.80622452302,0.965450025448
Zm00001d035854,train,0.0,0.0124092858921,0.0,0.0124092858921
Zm00001d042605,train,0.0423958423492,0.0,0.0423958423492,0.0
Zm00001d012079,train,4.45117601649,2.69852153011,4.45117601649,2.69852153011
Zm00001d032162,train,5.64058720372,5.769055112,5.64058720372,5.769055112
Zm00001d043548,train,4.24556721951,3.58379105916,4.24556721951,3.58379105916
Zm00001d026063,train,2.23266822496,3.53727564792,2.23266822496,3.53727564792
Zm00001d003015,val,0.29495549138300003,0.580670477878,0.29495549138300003,0.580670477878
Zm00001d048602,test,0.0290311965882,0.8364201499989999,0.0290311965882,0.8364201499989999
Zm00001d038408,train,1.14295042612,0.225360974982,1.14295042612,0.225360974982
Zm00001d002088,val,0.514696157874,0.0,0.514696157874,0.0
Zm00001d007464,test,0.0,0.0360079298758,0.0,0.0360079298758
Zm00001d030374,train,0.17751209036499999,0.0,0.17751209036499999,0.0
Zm00001d011832,val,0.047149495509599994,0.935735783535,0.047149495509599994,0.935735783535
Zm00001d037531,train,0.0,0.0,0.0,0.0
Zm00001d049579,train,4.63089672378,5.17352917523,4.63089672378,5.17352917523
Zm00001d044743,train,0.0447930229581,0.0,0.0447930229581,0.0
Zm00001d015123,train,4.55448938536,3.7329378109699993,4.55448938536,3.7329378109699993
Zm00001d004209,test,0.918183362438,0.7646100431820001,0.918183362438,0.7646100431820001
Zm00001d031685,train,0.23571928191,0.0531980962351,0.23571928191,0.0531980962351
Zm00001d030323,train,0.0693643224154,0.006539790237560001,0.0693643224154,0.006539790237560001
Zm00001d006150,train,0.0,0.0,0.0,0.0
Zm00001d043096,train,3.39049959458,1.9753278360599997,3.39049959458,1.9753278360599997
Zm00001d010711,val,3.9017966214199995,4.491487381080001,3.9017966214199995,4.491487381080001
Zm00001d037499,val,4.5385598935500004,3.70067600676,4.5385598935500004,3.70067600676
Zm00001d017833,train,3.6749264160300004,4.6210927570499996,3.6749264160300004,4.6210927570499996
Zm00001d042371,train,0.124610442241,0.0,0.124610442241,0.0
Zm00001d042029,test,0.546602384283,0.109688724817,0.546602384283,0.109688724817
Zm00001d027276,train,4.59560684391,5.21211191056,4.59560684391,5.21211191056
Zm00001d052992,test,3.06320885872,1.3760975634700001,3.06320885872,1.3760975634700001
Zm00001d004698,val,1.9109550593900002,1.10933798567,1.9109550593900002,1.10933798567
Zm00001d048106,train,0.0917613437338,0.23862740765,0.0917613437338,0.23862740765
Zm00001d041710,train,2.97686286024,3.0603897977999996,2.97686286024,3.0603897977999996
Zm00001d010521,test,0.0,0.0,0.0,0.0
Zm00001d051950,test,3.1675206962700004,3.1668199191000004,3.1675206962700004,3.1668199191000004
Zm00001d041890,train,0.12808079618899998,0.0520433098699,0.12808079618899998,0.0520433098699
Zm00001d013005,train,5.36098617883,5.04321383333,5.36098617883,5.04321383333
Zm00001d022537,train,2.03980365281,1.76911089866,2.03980365281,1.76911089866
Zm00001d015450,test,4.784604663640001,4.258932650959999,4.784604663640001,4.258932650959999
Zm00001d020383,test,0.0,0.261360148269,0.0,0.261360148269
Zm00001d024303,train,1.68281679016,0.7796740087720001,1.68281679016,0.7796740087720001
Zm00001d041575,train,4.81770232789,4.79695876926,4.81770232789,4.79695876926
Zm00001d026641,train,3.7353886436000003,3.18030831829,3.7353886436000003,3.18030831829
Zm00001d048472,train,3.6468989693,2.37973365423,3.6468989693,2.37973365423
Zm00001d012483,test,0.0,0.0,0.0,0.0
Zm00001d053578,train,0.0,0.0,0.0,0.0
Zm00001d007571,train,1.91442717934,2.22108439472,1.91442717934,2.22108439472
Zm00001d024397,test,1.8452341520500002,2.7628296099900003,1.8452341520500002,2.7628296099900003
Zm00001d038473,test,0.412890973508,0.0663938351663,0.412890973508,0.0663938351663
Zm00001d049239,train,9.22987365526,10.609684765299999,9.22987365526,10.609684765299999
Zm00001d007035,train,0.594938741321,1.3126751445799998,0.594938741321,1.3126751445799998
Zm00001d010722,val,0.0,0.0334334882189,0.0,0.0334334882189
Zm00001d005433,val,0.0,0.0,0.0,0.0
Zm00001d007642,train,0.128116177692,0.029981967629,0.128116177692,0.029981967629
Zm00001d052297,train,0.30335762533300004,1.16092973261,0.30335762533300004,1.16092973261
Zm00001d021906,val,3.1240857254400005,0.135404458171,3.1240857254400005,0.135404458171
Zm00001d009780,train,4.17800045074,3.7833132110300003,4.17800045074,3.7833132110300003
Zm00001d036993,train,0.0976558924849,0.0,0.0976558924849,0.0
Zm00001d043090,train,0.0,0.4844595655899999,0.0,0.4844595655899999
Zm00001d031734,train,0.0,0.08921819197809999,0.0,0.08921819197809999
Zm00001d006115,val,0.268191513865,0.6602329245709999,0.268191513865,0.6602329245709999
Zm00001d015962,val,4.23723417182,4.67948232435,4.23723417182,4.67948232435
Zm00001d029626,train,2.84584489653,3.9448909272300003,2.84584489653,3.9448909272300003
Zm00001d015284,train,0.048505244624699996,0.836731645226,0.048505244624699996,0.836731645226
Zm00001d002014,val,0.0,0.0,0.0,0.0
Zm00001d029066,test,4.03526810138,0.710098692656,4.03526810138,0.710098692656
Zm00001d014427,train,0.0,0.0,0.0,0.0
Zm00001d043463,train,0.36111463960199996,0.036028402818900004,0.36111463960199996,0.036028402818900004
Zm00001d020122,train,0.179059859782,0.0,0.179059859782,0.0
Zm00001d048284,val,4.21371157969,2.12069076662,4.21371157969,2.12069076662
Zm00001d049505,train,2.23731401351,1.7472661023099998,2.23731401351,1.7472661023099998
Zm00001d026675,test,5.18905748935,5.47324658713,5.18905748935,5.47324658713
Zm00001d049680,train,6.420496073250001,6.841157176039999,6.420496073250001,6.841157176039999
Zm00001d037332,train,3.1506348280500003,1.6239508828799998,3.1506348280500003,1.6239508828799998
Zm00001d028616,train,4.620252145219999,3.3297694248900003,4.620252145219999,3.3297694248900003
Zm00001d048920,train,0.0,0.0,0.0,0.0
Zm00001d006020,train,0.0,0.034253637808599996,0.0,0.034253637808599996
Zm00001d048540,val,2.55098838387,1.33108031358,2.55098838387,1.33108031358
Zm00001d033029,train,0.0,0.0,0.0,0.0
Zm00001d039878,train,0.52143891827,0.36811726450599996,0.52143891827,0.36811726450599996
Zm00001d007935,train,2.03477414863,0.07959376594430001,2.03477414863,0.07959376594430001
Zm00001d036295,train,0.0,0.0,0.0,0.0
Zm00001d034764,train,4.5032702451199995,3.76536785448,4.5032702451199995,3.76536785448
Zm00001d041711,train,7.54514419955,4.337013596869999,7.54514419955,4.337013596869999
Zm00001d017361,val,2.4268694100099997,3.63471398258,2.4268694100099997,3.63471398258
Zm00001d026120,train,1.0165464405700002,1.0157900783299998,1.0165464405700002,1.0157900783299998
Zm00001d012377,val,0.0,0.0,0.0,0.0
Zm00001d038911,train,1.64305020213,0.740615905183,1.64305020213,0.740615905183
Zm00001d048868,train,2.6375810353499998,4.45105157944,2.6375810353499998,4.45105157944
Zm00001d052816,test,4.177061856569999,4.56511913276,4.177061856569999,4.56511913276
Zm00001d033025,test,2.6599721736,3.25422440371,2.6599721736,3.25422440371
Zm00001d007672,train,0.0,0.0,0.0,0.0
Zm00001d033611,val,5.9431279012800005,5.59995762225,5.9431279012800005,5.59995762225
